sampleid	percent	reads	taxon_id	Kingdom	Phylum
DT04PM07	0.001755	122	2582935	Archaea	Candidatus Altiarchaeota
DT04PM07	0.001741	121	1801631	Archaea	Candidatus Micrarchaeota
DT04PM07	0.001568	109	51967	Archaea	Candidatus Korarchaeota
DT04PM07	0.00128	89	743724	Archaea	Candidatus Aenigmarchaeota
DT04PM07	0.000734	51	1915410	Archaea	Candidatus Verstraetearchaeota
DT04PM07	0.000561	39	743725	Archaea	Candidatus Diapherotrites
DT04PM07	0.000503	35	1978152	Archaea	Candidatus Marsarchaeota
DT04PM07	0.000432	30	192989	Archaea	Nanoarchaeota
DT04PM07	0.000316	22	1935021	Archaea	Candidatus Geothermarchaeota
DT04PM07	0.000187	13	1462430	Archaea	Candidatus Nanohaloarchaeota
DT04PM07	0.000187	13	1935019	Archaea	Candidatus Hydrothermarchaeota
DT04PM07	0.000173	12	1936271	Archaea	Candidatus Odinarchaeota
DT04PM07	0.000043	3	2546568	Archaea	Candidatus Nezhaarchaeota
DT04PM07	0.000043	3	2582950	Archaea	Candidatus Huberarchaea
DT04PM07	0.000029	2	1462422	Archaea	Candidatus Parvarchaeota
DT06PM10	0.170282	11040	28890	Archaea	Euryarchaeota
DT06PM10	0.031866	2066	651137	Archaea	Thaumarchaeota
DT06PM10	0.02127	1379	928852	Archaea	Candidatus Bathyarchaeota
DT06PM10	0.019465	1262	2283796	Archaea	Candidatus Thermoplasmatota
DT06PM10	0.016118	1045	28889	Archaea	Crenarchaeota
DT06PM10	0.004643	301	1706441	Archaea	Candidatus Thorarchaeota
DT06PM10	0.004211	273	1655434	Archaea	Candidatus Lokiarchaeota
DT06PM10	0.00344	223	1801616	Archaea	Candidatus Woesearchaeota
DT06PM10	0.002761	179	1936272	Archaea	Candidatus Heimdallarchaeota
DT06PM10	0.002514	163	2582935	Archaea	Candidatus Altiarchaeota
DT06PM10	0.002437	158	1801631	Archaea	Candidatus Micrarchaeota
DT06PM10	0.001835	119	51967	Archaea	Candidatus Korarchaeota
DT06PM10	0.001835	119	743724	Archaea	Candidatus Aenigmarchaeota
DT06PM10	0.001311	85	1978152	Archaea	Candidatus Marsarchaeota
DT06PM10	0.000725	47	1915410	Archaea	Candidatus Verstraetearchaeota
DT06PM10	0.000401	26	743725	Archaea	Candidatus Diapherotrites
DT06PM10	0.00037	24	192989	Archaea	Nanoarchaeota
DT06PM10	0.000355	23	1462430	Archaea	Candidatus Nanohaloarchaeota
DT06PM10	0.000278	18	1935019	Archaea	Candidatus Hydrothermarchaeota
DT06PM10	0.000278	18	1935021	Archaea	Candidatus Geothermarchaeota
DT06PM10	0.000201	13	1462422	Archaea	Candidatus Parvarchaeota
DT06PM10	0.00017	11	2546568	Archaea	Candidatus Nezhaarchaeota
DT06PM10	0.000108	7	1936271	Archaea	Candidatus Odinarchaeota
DT06PM10	0.000015	1	2582950	Archaea	Candidatus Huberarchaea
DT08PM01	0.164192	10385	28890	Archaea	Euryarchaeota
DT08PM01	0.027605	1746	651137	Archaea	Thaumarchaeota
DT08PM01	0.020459	1294	928852	Archaea	Candidatus Bathyarchaeota
DT08PM01	0.019305	1221	2283796	Archaea	Candidatus Thermoplasmatota
DT08PM01	0.017091	1081	28889	Archaea	Crenarchaeota
DT08PM01	0.005012	317	1655434	Archaea	Candidatus Lokiarchaeota
DT08PM01	0.004585	290	1706441	Archaea	Candidatus Thorarchaeota
DT08PM01	0.003415	216	1801616	Archaea	Candidatus Woesearchaeota
DT08PM01	0.00253	160	1936272	Archaea	Candidatus Heimdallarchaeota
DT08PM01	0.002119	134	2582935	Archaea	Candidatus Altiarchaeota
DT08PM01	0.001992	126	1801631	Archaea	Candidatus Micrarchaeota
DT08PM01	0.001866	118	743724	Archaea	Candidatus Aenigmarchaeota
DT08PM01	0.001723	109	51967	Archaea	Candidatus Korarchaeota
DT08PM01	0.001091	69	1978152	Archaea	Candidatus Marsarchaeota
DT08PM01	0.000917	58	1915410	Archaea	Candidatus Verstraetearchaeota
DT08PM01	0.00049	31	743725	Archaea	Candidatus Diapherotrites
DT08PM01	0.000395	25	192989	Archaea	Nanoarchaeota
DT08PM01	0.000237	15	1935021	Archaea	Candidatus Geothermarchaeota
DT08PM01	0.000142	9	1936271	Archaea	Candidatus Odinarchaeota
DT08PM01	0.000126	8	1935019	Archaea	Candidatus Hydrothermarchaeota
DT08PM01	0.000095	6	1462422	Archaea	Candidatus Parvarchaeota
DT08PM01	0.000095	6	1462430	Archaea	Candidatus Nanohaloarchaeota
DT08PM01	0.000095	6	2546568	Archaea	Candidatus Nezhaarchaeota
DT08PM01	0.000032	2	2582950	Archaea	Candidatus Huberarchaea
DT09PM03	0.152994	9301	28890	Archaea	Euryarchaeota
DT09PM03	0.017157	1043	2283796	Archaea	Candidatus Thermoplasmatota
DT09PM03	0.01714	1042	928852	Archaea	Candidatus Bathyarchaeota
DT09PM03	0.01589	966	651137	Archaea	Thaumarchaeota
DT09PM03	0.015298	930	28889	Archaea	Crenarchaeota
DT09PM03	0.004195	255	1655434	Archaea	Candidatus Lokiarchaeota
DT09PM03	0.003964	241	1706441	Archaea	Candidatus Thorarchaeota
DT09PM03	0.002895	176	1801616	Archaea	Candidatus Woesearchaeota
DT09PM03	0.002204	134	1801631	Archaea	Candidatus Micrarchaeota
DT09PM03	0.002171	132	2582935	Archaea	Candidatus Altiarchaeota
DT09PM03	0.001941	118	1936272	Archaea	Candidatus Heimdallarchaeota
DT09PM03	0.001711	104	51967	Archaea	Candidatus Korarchaeota
DT09PM03	0.001415	86	743724	Archaea	Candidatus Aenigmarchaeota
DT09PM03	0.000724	44	1978152	Archaea	Candidatus Marsarchaeota
DT09PM03	0.000674	41	1915410	Archaea	Candidatus Verstraetearchaeota
DT09PM03	0.000378	23	743725	Archaea	Candidatus Diapherotrites
DT09PM03	0.000263	16	192989	Archaea	Nanoarchaeota
DT09PM03	0.000164	10	1935021	Archaea	Candidatus Geothermarchaeota
DT09PM03	0.000148	9	1935019	Archaea	Candidatus Hydrothermarchaeota
DT09PM03	0.000132	8	1462422	Archaea	Candidatus Parvarchaeota
DT09PM03	0.000099	6	1462430	Archaea	Candidatus Nanohaloarchaeota
DT09PM03	0.000082	5	2546568	Archaea	Candidatus Nezhaarchaeota
DT09PM03	0.000016	1	2582950	Archaea	Candidatus Huberarchaea
DT10PM04	0.159935	10119	28890	Archaea	Euryarchaeota
DT10PM04	0.018571	1175	2283796	Archaea	Candidatus Thermoplasmatota
DT10PM04	0.01718	1087	651137	Archaea	Thaumarchaeota
DT10PM04	0.016169	1023	928852	Archaea	Candidatus Bathyarchaeota
DT10PM04	0.013529	856	28889	Archaea	Crenarchaeota
DT10PM04	0.004188	265	1706441	Archaea	Candidatus Thorarchaeota
DT10PM04	0.004109	260	1655434	Archaea	Candidatus Lokiarchaeota
DT10PM04	0.003525	223	1801616	Archaea	Candidatus Woesearchaeota
DT10PM04	0.002529	160	1936272	Archaea	Candidatus Heimdallarchaeota
DT10PM04	0.002118	134	2582935	Archaea	Candidatus Altiarchaeota
DT10PM04	0.001881	119	1801631	Archaea	Candidatus Micrarchaeota
DT10PM04	0.001691	107	51967	Archaea	Candidatus Korarchaeota
DT10PM04	0.001422	90	743724	Archaea	Candidatus Aenigmarchaeota
DT10PM04	0.000885	56	1978152	Archaea	Candidatus Marsarchaeota
DT10PM04	0.000664	42	1915410	Archaea	Candidatus Verstraetearchaeota
DT10PM04	0.000364	23	743725	Archaea	Candidatus Diapherotrites
DT10PM04	0.000269	17	1935021	Archaea	Candidatus Geothermarchaeota
DT10PM04	0.000237	15	192989	Archaea	Nanoarchaeota
DT10PM04	0.00019	12	1462430	Archaea	Candidatus Nanohaloarchaeota
DT10PM04	0.000158	10	1935019	Archaea	Candidatus Hydrothermarchaeota
DT10PM04	0.000111	7	2546568	Archaea	Candidatus Nezhaarchaeota
DT10PM04	0.000095	6	1462422	Archaea	Candidatus Parvarchaeota
DT10PM04	0.000063	4	1936271	Archaea	Candidatus Odinarchaeota
DT10PM04	0.000016	1	2582950	Archaea	Candidatus Huberarchaea
DT10PM09	0.174929	9427	28890	Archaea	Euryarchaeota
DT10PM09	0.021618	1165	2283796	Archaea	Candidatus Thermoplasmatota
DT10PM09	0.02069	1115	928852	Archaea	Candidatus Bathyarchaeota
DT10PM09	0.01889	1018	651137	Archaea	Thaumarchaeota
DT10PM09	0.015847	854	28889	Archaea	Crenarchaeota
DT10PM09	0.004695	253	1706441	Archaea	Candidatus Thorarchaeota
DT10PM09	0.003915	211	1655434	Archaea	Candidatus Lokiarchaeota
DT10PM09	0.003637	196	1801616	Archaea	Candidatus Woesearchaeota
DT10PM09	0.002691	145	1936272	Archaea	Candidatus Heimdallarchaeota
DT10PM09	0.002431	131	1801631	Archaea	Candidatus Micrarchaeota
DT10PM09	0.002338	126	2582935	Archaea	Candidatus Altiarchaeota
DT10PM09	0.002282	123	51967	Archaea	Candidatus Korarchaeota
DT10PM09	0.00193	104	743724	Archaea	Candidatus Aenigmarchaeota
DT10PM09	0.001058	57	1915410	Archaea	Candidatus Verstraetearchaeota
DT10PM09	0.000816	44	1978152	Archaea	Candidatus Marsarchaeota
DT10PM09	0.000575	31	743725	Archaea	Candidatus Diapherotrites
DT10PM09	0.000464	25	192989	Archaea	Nanoarchaeota
DT10PM09	0.000186	10	1935021	Archaea	Candidatus Geothermarchaeota
DT10PM09	0.000148	8	1462422	Archaea	Candidatus Parvarchaeota
DT10PM09	0.000148	8	1462430	Archaea	Candidatus Nanohaloarchaeota
DT10PM09	0.00013	7	1935019	Archaea	Candidatus Hydrothermarchaeota
DT10PM09	0.000093	5	1936271	Archaea	Candidatus Odinarchaeota
DT10PM09	0.000037	2	2546568	Archaea	Candidatus Nezhaarchaeota
NT02PM01	0.133284	6182	28890	Archaea	Euryarchaeota
NT02PM01	0.016364	759	651137	Archaea	Thaumarchaeota
NT02PM01	0.016019	743	2283796	Archaea	Candidatus Thermoplasmatota
NT02PM01	0.015868	736	928852	Archaea	Candidatus Bathyarchaeota
NT02PM01	0.013281	616	28889	Archaea	Crenarchaeota
NT02PM01	0.003881	180	1655434	Archaea	Candidatus Lokiarchaeota
NT02PM01	0.003493	162	1706441	Archaea	Candidatus Thorarchaeota
NT02PM01	0.002803	130	1801616	Archaea	Candidatus Woesearchaeota
NT02PM01	0.002264	105	1936272	Archaea	Candidatus Heimdallarchaeota
NT02PM01	0.001811	84	2582935	Archaea	Candidatus Altiarchaeota
NT02PM01	0.001401	65	743724	Archaea	Candidatus Aenigmarchaeota
NT02PM01	0.001294	60	1801631	Archaea	Candidatus Micrarchaeota
NT02PM01	0.001121	52	51967	Archaea	Candidatus Korarchaeota
NT02PM01	0.00069	32	1978152	Archaea	Candidatus Marsarchaeota
NT02PM01	0.000517	24	1915410	Archaea	Candidatus Verstraetearchaeota
NT02PM01	0.000496	23	743725	Archaea	Candidatus Diapherotrites
NT02PM01	0.00028	13	1462422	Archaea	Candidatus Parvarchaeota
NT02PM01	0.000259	12	192989	Archaea	Nanoarchaeota
NT02PM01	0.000151	7	1462430	Archaea	Candidatus Nanohaloarchaeota
NT02PM01	0.000151	7	1936271	Archaea	Candidatus Odinarchaeota
NT02PM01	0.000086	4	1935021	Archaea	Candidatus Geothermarchaeota
NT02PM01	0.000043	2	1935019	Archaea	Candidatus Hydrothermarchaeota
NT02PM01	0.000043	2	2546568	Archaea	Candidatus Nezhaarchaeota
NT02PM03	0.150135	8660	28890	Archaea	Euryarchaeota
NT02PM03	0.017735	1023	2283796	Archaea	Candidatus Thermoplasmatota
NT02PM03	0.017233	994	928852	Archaea	Candidatus Bathyarchaeota
NT02PM03	0.015291	882	28889	Archaea	Crenarchaeota
NT02PM03	0.015014	866	651137	Archaea	Thaumarchaeota
NT02PM03	0.004802	277	1655434	Archaea	Candidatus Lokiarchaeota
NT02PM03	0.00397	229	1706441	Archaea	Candidatus Thorarchaeota
NT02PM03	0.003138	181	1801616	Archaea	Candidatus Woesearchaeota
NT02PM03	0.002167	125	1936272	Archaea	Candidatus Heimdallarchaeota
NT02PM03	0.002028	117	2582935	Archaea	Candidatus Altiarchaeota
NT02PM03	0.001786	103	1801631	Archaea	Candidatus Micrarchaeota
NT02PM03	0.001647	95	743724	Archaea	Candidatus Aenigmarchaeota
NT02PM03	0.001578	91	51967	Archaea	Candidatus Korarchaeota
NT02PM03	0.000815	47	1978152	Archaea	Candidatus Marsarchaeota
NT02PM03	0.000728	42	1915410	Archaea	Candidatus Verstraetearchaeota
NT02PM03	0.000537	31	743725	Archaea	Candidatus Diapherotrites
NT02PM03	0.000312	18	192989	Archaea	Nanoarchaeota
NT02PM03	0.000173	10	1935021	Archaea	Candidatus Geothermarchaeota
NT02PM03	0.000139	8	1462430	Archaea	Candidatus Nanohaloarchaeota
NT02PM03	0.000121	7	2546568	Archaea	Candidatus Nezhaarchaeota
NT02PM03	0.000052	3	1462422	Archaea	Candidatus Parvarchaeota
NT02PM03	0.000052	3	1936271	Archaea	Candidatus Odinarchaeota
NT02PM03	0.000035	2	1935019	Archaea	Candidatus Hydrothermarchaeota
NT02PM03	0.000017	1	2582950	Archaea	Candidatus Huberarchaea
NT02PM04	0.147214	8220	28890	Archaea	Euryarchaeota
NT02PM04	0.017032	951	2283796	Archaea	Candidatus Thermoplasmatota
NT02PM04	0.015706	877	928852	Archaea	Candidatus Bathyarchaeota
NT02PM04	0.015223	850	651137	Archaea	Thaumarchaeota
NT02PM04	0.014918	833	28889	Archaea	Crenarchaeota
NT02PM04	0.004603	257	1706441	Archaea	Candidatus Thorarchaeota
NT02PM04	0.003886	217	1655434	Archaea	Candidatus Lokiarchaeota
NT02PM04	0.002865	160	1801616	Archaea	Candidatus Woesearchaeota
NT02PM04	0.002185	122	1936272	Archaea	Candidatus Heimdallarchaeota
NT02PM04	0.002185	122	2582935	Archaea	Candidatus Altiarchaeota
NT02PM04	0.001916	107	1801631	Archaea	Candidatus Micrarchaeota
NT02PM04	0.001612	90	51967	Archaea	Candidatus Korarchaeota
NT02PM04	0.001379	77	743724	Archaea	Candidatus Aenigmarchaeota
NT02PM04	0.000752	42	1978152	Archaea	Candidatus Marsarchaeota
NT02PM04	0.000537	30	1915410	Archaea	Candidatus Verstraetearchaeota
NT02PM04	0.000519	29	743725	Archaea	Candidatus Diapherotrites
NT02PM04	0.000394	22	192989	Archaea	Nanoarchaeota
NT02PM04	0.000233	13	1935021	Archaea	Candidatus Geothermarchaeota
NT02PM04	0.000179	10	1462430	Archaea	Candidatus Nanohaloarchaeota
NT02PM04	0.000179	10	1935019	Archaea	Candidatus Hydrothermarchaeota
NT02PM04	0.000143	8	2546568	Archaea	Candidatus Nezhaarchaeota
NT02PM04	0.000125	7	1936271	Archaea	Candidatus Odinarchaeota
NT02PM04	0.000107	6	1462422	Archaea	Candidatus Parvarchaeota
NT02PM04	0.000018	1	2582950	Archaea	Candidatus Huberarchaea
NT02PM10	0.130674	9090	28890	Archaea	Euryarchaeota
NT02PM10	0.016316	1135	651137	Archaea	Thaumarchaeota
NT02PM10	0.015324	1066	928852	Archaea	Candidatus Bathyarchaeota
NT02PM10	0.014261	992	2283796	Archaea	Candidatus Thermoplasmatota
NT02PM10	0.013312	926	28889	Archaea	Crenarchaeota
NT02PM10	0.003781	263	1706441	Archaea	Candidatus Thorarchaeota
NT02PM10	0.003695	257	1655434	Archaea	Candidatus Lokiarchaeota
NT02PM10	0.0023	160	1801616	Archaea	Candidatus Woesearchaeota
NT02PM10	0.00184	128	2582935	Archaea	Candidatus Altiarchaeota
NT02PM10	0.001639	114	1801631	Archaea	Candidatus Micrarchaeota
NT02PM10	0.001567	109	1936272	Archaea	Candidatus Heimdallarchaeota
NT02PM10	0.001509	105	51967	Archaea	Candidatus Korarchaeota
NT02PM10	0.001452	101	743724	Archaea	Candidatus Aenigmarchaeota
NT02PM10	0.000906	63	1978152	Archaea	Candidatus Marsarchaeota
NT02PM10	0.000676	47	1915410	Archaea	Candidatus Verstraetearchaeota
NT02PM10	0.000345	24	743725	Archaea	Candidatus Diapherotrites
NT02PM10	0.000244	17	192989	Archaea	Nanoarchaeota
NT02PM10	0.000201	14	1935021	Archaea	Candidatus Geothermarchaeota
NT02PM10	0.000173	12	1462422	Archaea	Candidatus Parvarchaeota
NT02PM10	0.000115	8	1935019	Archaea	Candidatus Hydrothermarchaeota
NT02PM10	0.000058	4	1936271	Archaea	Candidatus Odinarchaeota
NT02PM10	0.000043	3	1462430	Archaea	Candidatus Nanohaloarchaeota
NT02PM10	0.000029	2	2546568	Archaea	Candidatus Nezhaarchaeota
NT05PM09	0.089024	6306	28890	Archaea	Euryarchaeota
NT05PM09	0.009035	640	2283796	Archaea	Candidatus Thermoplasmatota
NT05PM09	0.008866	628	928852	Archaea	Candidatus Bathyarchaeota
NT05PM09	0.007172	508	28889	Archaea	Crenarchaeota
NT05PM09	0.007059	500	651137	Archaea	Thaumarchaeota
NT05PM09	0.003049	216	1655434	Archaea	Candidatus Lokiarchaeota
NT05PM09	0.002965	210	1706441	Archaea	Candidatus Thorarchaeota
NT05PM09	0.002188	155	743724	Archaea	Candidatus Aenigmarchaeota
NT05PM09	0.002005	142	1936272	Archaea	Candidatus Heimdallarchaeota
NT05PM09	0.001581	112	1801616	Archaea	Candidatus Woesearchaeota
NT05PM09	0.001327	94	2582935	Archaea	Candidatus Altiarchaeota
NT05PM09	0.001285	91	1801631	Archaea	Candidatus Micrarchaeota
NT05PM09	0.000918	65	51967	Archaea	Candidatus Korarchaeota
NT05PM09	0.000409	29	1978152	Archaea	Candidatus Marsarchaeota
NT05PM09	0.000296	21	1915410	Archaea	Candidatus Verstraetearchaeota
NT05PM09	0.000155	11	192989	Archaea	Nanoarchaeota
NT05PM09	0.000155	11	743725	Archaea	Candidatus Diapherotrites
NT05PM09	0.000155	11	1935019	Archaea	Candidatus Hydrothermarchaeota
NT05PM09	0.000113	8	1462430	Archaea	Candidatus Nanohaloarchaeota
NT05PM09	0.000099	7	1462422	Archaea	Candidatus Parvarchaeota
NT05PM09	0.000071	5	1936271	Archaea	Candidatus Odinarchaeota
NT05PM09	0.000056	4	1935021	Archaea	Candidatus Geothermarchaeota
NT06PM03	0.105188	6558	28890	Archaea	Euryarchaeota
NT06PM03	0.011468	715	928852	Archaea	Candidatus Bathyarchaeota
NT06PM03	0.011196	698	651137	Archaea	Thaumarchaeota
NT06PM03	0.011067	690	2283796	Archaea	Candidatus Thermoplasmatota
NT06PM03	0.009078	566	28889	Archaea	Crenarchaeota
NT06PM03	0.003801	237	1706441	Archaea	Candidatus Thorarchaeota
NT06PM03	0.002951	184	1655434	Archaea	Candidatus Lokiarchaeota
NT06PM03	0.002406	150	1801616	Archaea	Candidatus Woesearchaeota
NT06PM03	0.002005	125	743724	Archaea	Candidatus Aenigmarchaeota
NT06PM03	0.001732	108	2582935	Archaea	Candidatus Altiarchaeota
NT06PM03	0.00162	101	1936272	Archaea	Candidatus Heimdallarchaeota
NT06PM03	0.001203	75	1801631	Archaea	Candidatus Micrarchaeota
NT06PM03	0.001171	73	51967	Archaea	Candidatus Korarchaeota
NT06PM03	0.000529	33	1915410	Archaea	Candidatus Verstraetearchaeota
NT06PM03	0.000417	26	1978152	Archaea	Candidatus Marsarchaeota
NT06PM03	0.000385	24	743725	Archaea	Candidatus Diapherotrites
NT06PM03	0.000209	13	1462422	Archaea	Candidatus Parvarchaeota
NT06PM03	0.00016	10	192989	Archaea	Nanoarchaeota
NT06PM03	0.000144	9	1935019	Archaea	Candidatus Hydrothermarchaeota
NT06PM03	0.000112	7	1462430	Archaea	Candidatus Nanohaloarchaeota
NT06PM03	0.000064	4	1935021	Archaea	Candidatus Geothermarchaeota
NT06PM03	0.000064	4	2546568	Archaea	Candidatus Nezhaarchaeota
NT06PM03	0.000016	1	1936271	Archaea	Candidatus Odinarchaeota
NT06PM04	0.133269	8657	28890	Archaea	Euryarchaeota
NT06PM04	0.015302	994	2283796	Archaea	Candidatus Thermoplasmatota
NT06PM04	0.01484	964	928852	Archaea	Candidatus Bathyarchaeota
