accession	function_def	DT02PM02	DT02PM03	DT02PM10	DT04PM03	DT04PM07	DT06PM10	DT08PM01	DT09PM03	DT10PM04	DT10PM09	NT02PM01	NT02PM03	NT02PM04	NT02PM10	NT05PM09	NT06PM03	NT06PM04	NT08PM03	NT09PM08	NT10PM03
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	680.051411443	508.439169278	586.959357267	492.457085045	615.988017075	479.048483978	430.105846201	510.499023469	442.221969122	329.148087631	501.803216709	560.026952386	582.298325036	518.810254392	582.252181345	481.888995655	446.261015944	559.630603963	526.080845905	564.745854594
K00013	histidinol dehydrogenase [EC:1.1.1.23]	171.375074908	95.463591718	248.41619968799998	94.62768695	282.240351615	229.219778071	204.0351646	164.967126019	195.844273729	127.845504606	228.848714577	174.108294583	213.721719601	234.248946228	254.982182843	244.901922975	254.99410065200001	172.032123648	231.237098803	196.93491158199998
K00014	shikimate dehydrogenase [EC:1.1.1.25]	242.588264125	297.307603708	352.98845830199997	259.09466847100003	383.11666656299997	255.626832158	297.503172267	300.31122228600003	285.049728711	150.371947975	241.697926993	289.4511748	323.736534273	286.279579931	299.692011765	242.26353122	322.179914801	307.629927384	286.05209347	323.35591355
K00015	glyoxylate reductase [EC:1.1.1.26]	151.597590298	44.934596358	92.241711115	71.902919548	62.806871954	82.127549975	103.341306053	101.36039888	104.629154618	110.45185104400001	83.426180988	66.11504309600001	96.473041595	95.76798142	110.362816462	100.779449294	112.280080858	53.383570442	59.168245047999996	71.923726266
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	6.3894439510000005	76.216226628	43.284655409	44.01406257	153.727397755	58.777145902	70.705779373	52.921344091	39.749132339	73.628513825	64.307723089	55.213935949	49.292778269	57.141890005	26.08134384	53.020627808	62.162020094	41.347864463	44.983000966	118.554358491
K00018	glycerate dehydrogenase [EC:1.1.1.29]	19.241546697	27.666132666	121.23596832	14.968720295	6.951343545	30.568147404	29.528761007	22.427025429	25.773210145	6.1420490469999995	42.510188987	42.764616089	18.676134971	44.017181171	62.285872295	79.027069835	123.841092141	61.046179798	57.407008501	43.748396594999996
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	225.522027423	189.523784346	89.101109091	212.301085445	126.058922154	260.82694833200003	227.943832744	181.364617426	242.197433231	177.900466791	220.624550999	175.186026411	163.305746318	223.406200435	223.141255021	237.11307324	297.074158816	220.450175737	233.603613746	257.43156567799997
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	694.807928694	525.617569559	556.091534932	691.119388593	636.248697085	1109.558894601	1119.343817601	1052.623744493	1084.231879679	547.239006349	1293.802875383	896.5495112	833.557816044	1220.025756357	1626.413214265	1252.325609391	1098.327754363	919.108496145	1455.016971861	966.314034361
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	6.3805863590000005	46.03354517	0	35.689859227	173.04877189	31.643049041999998	21.380358255	19.045404183	42.490120947	105.609007359	31.417272193000002	39.619884688	50.474097467	26.437974722	22.307500837	27.429870872	7.037354929	37.112149395	19.542219326	44.326788022
K00022	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	6.393830363	0.8608134	103.21534665300001	34.675817800000004	93.73352458	64.748061949	47.719970582	70.716885348	17.364131502	0	12.258361247	17.865741508	12.171137632	8.634899736	0.2404757	7.9739425740000005	13.876267901	1.216170363	1.1787952069999998	17.574930931
K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	179.036267228	133.112609069	94.947563164	99.694631473	135.251397973	176.790541122	110.34288177500001	104.637100734	116.661362721	223.598146964	111.120726866	79.119186506	70.984290912	107.135238329	143.811468609	118.42686736099999	78.186778252	72.791236343	81.792933607	127.701268357
K00024	malate dehydrogenase [EC:1.1.1.37]	318.381847597	329.927144319	517.343741503	270.046827595	347.36449725299997	341.127775734	310.859308288	347.909147091	363.84429980699997	264.473872705	296.59379559	301.202210668	252.505483345	298.236283086	294.766457752	275.572953437	306.17185984	263.143877694	270.749247154	268.640114728
K00026	malate dehydrogenase [EC:1.1.1.37]	0	0	0	0	0	2.467529985	2.958796959	0	0	0	2.557529094	3.046086975	2.830287334	3.261279782	0	0.182178549	0	7.181267405	0	7.219442902
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	44.119954175000004	74.340107409	241.050066695	179.919738909	75.127935688	51.889374763999996	48.753552554	39.549587503	89.594234848	30.504922093	135.459200367	128.19490606600002	234.366213088	103.177850695	148.801987375	49.304638613	33.683889052	24.051959729	194.23319604000002	20.968430678
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	153.363054349	129.119081089	90.957467467	104.85528345	135.687566681	574.043593196	489.02279593	383.369234982	382.235405071	381.44907845	335.93485336	313.809700987	317.399471747	363.307037452	328.987881587	386.182357849	470.540058692	269.336837608	347.869026307	449.97438447400003
K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	24.479631346	139.983425243	110.886164609	30.654096951	219.643522652	161.695750128	159.182350344	183.438996255	122.262502066	90.540857473	92.846905183	169.421609256	116.440403058	104.950021243	94.165814188	162.710243701	172.372483647	187.402241191	121.53509855	172.608321348
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	998.1616165309999	659.688881462	685.701914921	819.335410755	953.487404558	543.027503879	493.197304026	427.405403109	581.438668211	610.682463212	366.571195345	377.499260619	344.165291191	353.991655714	365.366487168	367.55963782	456.214062701	455.889312763	361.498460029	378.128958449
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	588.779813056	646.058942048	706.202141603	850.036150433	725.474210752	882.411444146	901.572059756	762.954492907	768.835135687	729.329904831	809.3599919760001	802.925358713	816.640919624	764.3764887250001	768.345911226	863.552422727	749.898482489	782.748266524	798.66596293	788.243699788
K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	57.086974565	68.163881785	67.867810115	49.837841108000006	14.024124633	102.079250438	109.013103826	178.784006325	118.868137958	102.530193504	91.636061677	107.44214627	136.756130965	63.291178247	27.637392047	93.026379173	138.398658041	157.561804749	66.616041131	117.908178414
K00035	D-galactose 1-dehydrogenase [EC:1.1.1.48]	6.293930329	47.769260579	30.440324339	53.501892700999996	41.909894432	16.721326605999998	13.687868184	20.180364264	13.861677624	0	6.603777388	22.700697586	13.587526098	12.83057137	4.772259513	13.636581125	87.973913902	36.901962046	11.114085419	18.034741071
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	966.029946042	938.334642854	960.46311142	1009.723942197	1031.901786686	1068.335155472	1100.200614485	851.585689904	1047.419999111	510.570372878	923.4848818	1088.38325057	1183.696796431	952.296470416	963.190313848	966.247248487	870.102438404	898.770710322	942.050118107	1080.784763766
K00038	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	105.500706452	358.923709876	228.325497512	210.547890341	110.89466887	152.965911575	146.674145311	95.402397694	164.513171604	18.86609175	221.667849704	183.696353202	91.293874783	255.48204122800001	360.392759938	201.941117519	95.334749421	59.916033023	328.804110932	160.046947527
K00039	ribitol 2-dehydrogenase [EC:1.1.1.56]	2.726373328	1.521874344	0	2.519655536	4.816063149	57.334458504	73.47800731	79.834462303	46.568922213	27.015955906	27.745086721	40.867232061	38.762697806	60.964693173	21.656943032	49.867555765	52.441732085	5.126755232	21.660924403	62.725258622
K00040	fructuronate reductase [EC:1.1.1.57]	2.427351737	0.847302597	33.27196206	0	2.289823959	9.821674526999999	15.4836233	3.34142479	9.268681097	0	17.776968565	6.075911006	6.30785496	13.006061656	12.56829093	4.403891498999999	30.979971976	14.018856535000001	5.493909572	5.687845692
K00041	tagaturonate reductase [EC:1.1.1.58]	6.116704983	27.830006601	2.337139856	37.90122459	24.903124465	15.748361854	13.643303902	12.970291911	21.07900627	0	17.539967624	15.082833381	11.376784813	16.398863315	18.810587025	14.860606879	8.913944812	11.489523950999999	8.808188397	25.836521985
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	116.639831962	58.155344877	30.205575072	30.055641238	10.245776834	65.5267115	69.536207045	51.291328185	56.889918110000004	28.724302083	62.449517779000004	44.400818183	51.714546907	59.317396641	92.928739028	74.312534504	65.455790652	55.747969223	58.189948487	88.861419426
K00043	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	0	7.812021582	10.29676541	0	0	8.904317289	4.054090759	1.415144415	11.223863318	0	27.416903944	12.021665479	7.281463684	23.647394291	9.112754374	13.426016513999999	6.966016021	11.564662091999999	10.865976812	9.500719094
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	10.576211578	23.203872827	2.97946589	33.830046053	7.46823295	66.994160645	57.735227839	49.812995397	54.112391869	7.322707502	60.903234493	49.580445497	41.109033538	69.240971366	65.416841698	66.966302082	51.366405336999996	29.027061588000002	18.88267109	60.666174441
K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	84.40084512600001	52.349658045	17.866742035999998	33.704507771	29.071484446	38.370275061	51.846873781	43.58776419	56.017306918	24.327327541000002	72.443823095	58.999397809	35.959162847	50.568072503	28.078280767000003	38.46091798	28.758703319	88.603077555	32.218529569	123.851655372
K00050	hydroxypyruvate reductase [EC:1.1.1.81]	17.850880471	40.287224152	36.069917196	45.919167132	30.794693565	49.889619084	64.177625421	56.522760906	65.452868187000007	79.683671605	72.442302814	47.59853669	34.789464571	64.658269705	90.54600633700001	89.494972493	95.051916431	55.446148631	57.892444117000004	82.561433041
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	589.6578700270001	272.369373889	436.474571846	388.719172427	376.04606903	382.514310627	339.130835267	362.462897935	419.300509231	344.470398518	368.324884087	384.627396051	359.776868217	443.462085833	426.733030218	439.253069898	404.217017995	364.471186307	418.308767146	343.158864999
K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	655.165848117	615.510102906	598.898920974	595.642717099	688.784678949	559.572479628	444.560605798	401.52076051800003	577.666603974	602.729385769	457.098983705	491.573701209	530.949185546	466.82424806	406.695518231	420.467589385	495.290809801	402.796834451	377.901705687	454.308155327
K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	141.45436167	25.66066496	0	0	80.06428333	0	0	0	0	0	0	0	0	0	0.541919766	0.498498516	0	0	0	0
K00055	aryl-alcohol dehydrogenase [EC:1.1.1.90]	129.090800294	123.84074468	12.750787062999999	44.62460137	12.351559816	139.523148044	122.01090757499999	78.659590941	112.183920222	27.154020316	146.510274334	82.322416525	50.034119066	126.51440144899999	271.554541087	114.79564278	111.49867714	38.913553261	307.13518121	133.745777757
K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	317.903898233	306.268231437	188.83976353399999	413.906759079	266.352738995	255.672070013	273.979565437	168.292989203	289.783129275	158.5529517	450.537083716	294.30830771	283.877096107	445.017588146	563.367728934	390.864624756	230.044660407	291.620688653	531.807288408	248.454528271
K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	843.121258985	977.482559186	973.670671708	779.24710357	1018.462195149	729.782582087	798.496827022	630.184258009	846.557138695	865.7934930929999	903.302828514	793.276735113	699.200628683	951.402916406	946.953358248	823.118897145	694.788996353	756.074599954	862.813315554	739.23580138
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	3674.853114772	4405.948168662	3849.680723353	3921.483435352	3718.700285298	4924.884155507	4952.44446791	4980.826434711	5028.364790991	2853.658397919	5793.43864354	4996.835805915	4467.067220509	5869.024925925	6551.420751343	5541.429175284	4527.9237123249995	4723.137647843	6434.539041798	5189.870898762
K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	57.571447929	109.952956054	91.963793963	60.456842381	90.172569352	210.142598268	195.48839919	221.01346670200002	160.920265716	37.156135484000004	165.026705297	160.555540616	105.70006041	139.268854828	118.712436532	176.454827993	194.53984677	183.366538294	142.314590929	216.570902853
K00062	D-arabinose 1-dehydrogenase [EC:1.1.1.116]	0	5.883427861	0	0	0	0	0	0	1.587893525	41.23109378	6.056228895	3.064548108	7.132324082	2.609023825	0	0	0	0	0	0.619944822
K00064	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	64.886743434	193.48771105	126.297082901	107.247664904	61.716126262	278.878267708	288.567857806	284.646299145	247.780731762	258.973139097	234.494459316	256.388813698	209.494314547	247.744847382	136.75506228999998	270.941592677	278.196593584	250.127588457	137.421707292	303.855481141
K00065	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	112.896595129	131.125806283	244.260512333	112.78561898000001	81.37465136899999	133.31989759500001	111.738269591	114.958213453	123.323235177	117.775632484	157.371295072	156.07846000199999	147.690138906	138.839019736	110.088537708	180.415806188	124.228641536	243.734159949	134.592204449	178.75661265899998
K00066	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	189.44274679999998	69.957222417	112.136754868	18.797631242	144.28208156	32.173168777	42.551989165	52.656708357999996	39.593664583999995	16.204946119	51.093323805	45.561612626	17.591715414	51.359568477	39.161399741	51.304174183	31.221460925	27.846007653	68.26010191499999	93.170417514
K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	399.341971494	424.456626635	613.871386774	399.016471219	390.140609168	194.200607384	245.20019944	189.33953458	269.570319251	458.747086877	242.505228579	294.784993156	364.704858122	269.533634879	310.41320250900003	282.793902651	235.234281667	349.742825969	336.239567566	311.30266388900003
K00069	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]	3.787646167	41.003035805	38.71881906	14.174915954	158.95623043199998	37.78405559	22.797627881	30.111494749	13.22621387	7.263281685	5.71018325	9.365804029	6.138960192	5.686867363999999	18.289269219999998	10.723357179	29.957098167	4.717063465	11.022661122	15.515859696
K00073	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	2.069907627	49.873838770000006	0	8.158692696	0	0	0.729339306	0	5.243968843999999	0	1.260854679	1.285268766	3.348776947	4.228111688	2.416827936	5.008974532	0	13.120630308	3.113662312	1.106685011
K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	246.67427384	342.326396051	387.764354052	468.853874228	661.524872654	305.411005867	348.050527711	414.311910601	304.319714215	330.814921345	264.656410015	217.890464294	260.641051765	250.828159327	200.308499721	278.573586591	346.881353887	224.901732526	174.976110707	244.576097934
K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	196.99720439	307.851468469	304.723153899	471.599325359	434.31934448100003	304.961087808	298.254957272	319.90345421	251.952791786	321.03603542	283.935684021	257.691181551	240.662652799	298.121219232	335.66341933900003	313.632533112	277.073401351	175.787527599	287.650454036	232.978790774
K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	112.818703755	156.093027575	27.104899651	207.52917382	52.607852797999996	69.329958788	74.08251669	89.200917311	91.669237158	15.853736824	156.7249045	72.279363338	56.136480878	160.507276805	241.669779778	104.017151193	31.969462934	27.078406328	212.563514054	82.85122497
K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	823.220065827	694.867552337	566.997019601	666.259642369	333.914039566	837.075270504	887.125538331	932.663992334	889.808080086	1296.204135481	976.371037309	807.622169773	869.052223728	962.07606813	1123.923010207	867.204000375	876.900847114	1048.098194165	1040.397474494	800.773113046
K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	72.24604801299999	72.745771716	30.825273987	178.451790524	88.73343596000001	41.489555007999996	33.554318525999996	34.55437269	48.180551914	73.39758657	55.735181695	88.365061392	139.171205331	44.818558535	9.905792457	26.445924557	76.664140074	9.859560731	6.9476962360000005	42.604594748000004
K00079	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]	0	1.995407188	0	26.99790888	0	0	0	0	0	32.95505706	4.85746533	2.610236001	13.28945468	0.997935972	0.51555222	0	9.801036101	0	0	0
K00082	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	2.508263461	3.961134542	34.87685613	31.470767391	23.920594129999998	9.324913315	5.074200833	18.12046477	1.446528262	5.856451939	1.104203037	7.403238286	20.78165785	3.933152459	0	0	0	0	0	0
K00087	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	0	0	0	0	0	0	0.717284111	0	0	0	0	0	0	0	9.306157847	0	0	0	0	0
K00088	IMP dehydrogenase [EC:1.1.1.205]	586.947157156	499.825544095	491.58205964900003	499.324488774	552.071122747	397.634995724	439.619935989	468.430489733	497.84338428	481.751436761	457.295454237	439.106485734	494.602793946	465.233157607	541.508325078	482.73348917	508.036257521	465.962265592	487.45316967499997	372.106795288
K00090	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	8.629346771	6.840305280999999	14.389867258	17.920638088	5.691834789	3.806536618	3.782825861	6.915168541	4.133877197	0	11.678392179	5.02593932	3.6953806499999997	5.722793949	0	0.720115961	7.8459396770000005	26.956665612	0.53562179	6.018360546
K00091	dihydroflavonol-4-reductase [EC:1.1.1.219]	158.341434177	299.02865729	316.966453956	251.348088083	481.84169677	459.674088237	417.613206621	439.450480052	500.626636054	171.02582186	673.072195054	497.866532297	342.896855598	665.226643882	888.794387929	633.756993613	488.24858874	427.669282096	843.050050013	432.243852572
K00096	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	8.498586787	16.405796039000002	18.419077806	39.873849625	3.968532897	8.329742124	9.050264491	9.005273802	21.893863517	0	25.527193087	11.193711444	7.669111902	25.81339912	20.035361789	13.186745542	16.102336644	3.12943235	8.694974558	6.609293321
K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	113.150153303	79.400566362	42.644082897	54.713888467000004	100.72473002	52.595298725	51.148683767	25.046827958	48.713410377	69.385982584	59.840863546	63.538836785	44.76464572	57.705884583	75.91928705800001	93.064659922	89.94412268800001	72.822511904	53.053249312	62.043187041
K00098	L-idonate 5-dehydrogenase [EC:1.1.1.264]	8.491372575	15.900238304	0	1.799330831	11.855222176	53.706669708999996	48.337030854	32.735989158	48.80647459	18.216999835	61.829849169	44.130240823	32.118553019000004	56.899374277	27.898405959	39.838472871	50.834174705	29.489901622999998	30.805458604	94.11768695
K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	440.982085294	331.281536065	371.42444614	288.706628952	310.929760353	285.368222542	309.174673233	400.800228103	328.868610368	347.827642838	351.74177538600003	386.027649681	348.933416139	343.119136537	373.819643054	285.254129362	343.288563682	284.349555619	307.71329535899997	309.149241016
K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	33.881240356	80.547575417	38.492028901000005	29.76428151	164.481241217	109.240523967	148.924373748	74.807778777	140.484962905	116.912564671	210.805482126	178.318229882	151.610286745	223.053716141	323.563816704	157.751886765	163.739541163	51.893173514	287.955714541	88.452516023
K00102	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	165.753365858	144.711745934	90.701760984	127.495729242	111.049513818	152.489082613	117.227811058	94.42812256799999	102.568127772	269.482178026	95.430622589	98.943386531	79.8676044	118.607727415	120.938720311	96.821098699	88.941518232	71.855807278	65.22649725	112.040390912
K00104	glycolate oxidase [EC:1.1.3.15]	213.851358023	162.722785542	264.896723485	153.491120977	235.420338585	314.702332779	290.301783837	279.992353956	297.351690745	255.584405568	297.480304175	250.670066821	218.108836488	321.940135754	333.566761105	230.155651889	226.357872416	139.458214162	317.465882947	226.595450739
K00106	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	0.750477764	0	0.312744143	0	0	0.433130263	0.692484395	0	2.596826003	1.722363837	3.03475314	4.665445861	0.662407674	2.87628686	19.65266552	4.963275288	0.726722491	4.549292364	33.35324275	0.697564754
K00108	choline dehydrogenase [EC:1.1.99.1]	433.154697787	739.1486618929999	510.175732766	804.719905357	509.542795732	629.60992622	674.243430838	489.41071567	750.530692445	1134.005833045	703.744621196	666.474103978	557.852798255	737.682098265	893.874517834	635.027841732	738.745896499	664.48038923	803.721651072	690.7138773300001
K00109	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	48.171158507	36.450128985	36.545659736	31.362247582	40.879464192	36.808768908	46.948432343	23.115737573	43.841243394	27.709234152	60.256658895	48.229150283	24.151080699	49.562577367	105.405520794	74.638546493	92.947074543	89.497301027	44.068727562	83.334812718
K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	473.945781165	521.623143841	434.062863878	541.568389451	574.544431735	434.414844497	481.164253898	503.260237995	556.152017272	655.65311255	516.43905231	546.945345979	540.990389553	567.924733756	625.417753096	532.278214372	536.541333813	508.033976115	521.458777037	492.075426679
K00112	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	0	26.66911275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00113	glycerol-3-phosphate dehydrogenase subunit C	318.694180467	215.87290472	131.318149059	136.534552887	239.364074826	172.304163368	152.974591389	163.310248666	191.785991077	82.73409026	222.235616098	220.50905269199998	199.238981911	207.316343228	223.630798045	217.683197721	197.808304423	311.207696559	218.92534892	169.879882093
K00114	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	584.452392873	341.332355851	36.066921827	85.89137932999999	65.563771126	463.638101532	454.327629986	620.690300899	359.031759839	279.450318934	361.791493432	318.360677114	301.115100354	325.302517882	133.871320017	323.313827326	512.217102248	276.80310608499997	127.835142663	363.122779163
K00116	malate dehydrogenase (quinone) [EC:1.1.5.4]	105.27078392600001	39.966007566	47.593623787	103.329685851	127.858742307	361.57378355	326.171096017	318.744377632	221.688152217	50.046992207	229.419145102	199.780196779	152.839571523	263.638100922	197.661102405	300.585088548	370.46590051100003	83.998110511	167.96767333	298.420038509
K00117	quinoprotein glucose dehydrogenase [EC:1.1.5.2]	23.087151897	44.568588883000004	0.94281064	13.239247769	109.78708998	221.747903119	187.773916299	338.197926796	170.045965362	69.720373533	172.768187369	171.7706509	140.953570231	158.72577286199999	99.4477646	165.094401428	200.217636507	148.634693604	111.600472932	133.237756752
K00118	glucose-fructose oxidoreductase [EC:1.1.99.28]	63.658774974	25.447734570999998	127.93571853	36.752887060999996	38.432640662	55.837171524	47.424087944	55.136983525	55.53290314	4.814935337	57.166926371	68.478791601	68.795272853	40.022122578	38.99211636	54.910409660999996	51.736106079	171.845043149	69.206601897	59.887141803
K00119	alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36]	1.9006918720000001	21.630302279000002	12.363188599	1.73233447	12.900869223	76.11049493499999	96.067003578	31.977626979	105.651706522	24.722179512	228.944741134	139.498036411	126.311419247	229.193766947	417.739646898	152.75097711499998	34.156060275	25.16096911	500.04637314400003	69.662993855
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	214.570660863	113.285244545	65.945852882	76.896426225	88.73788335	140.267438234	119.648497238	80.67321912599999	139.181829333	204.369104301	107.190331437	121.6164702	91.889692789	104.239404436	141.959586446	174.274732482	196.08545511	193.825353818	131.839323583	106.83217779900001
K00122	formate dehydrogenase [EC:1.17.1.9]	60.008019096	86.288416735	109.322443934	8.927592	11.039552593	217.808873704	206.285998626	134.342434734	179.129756262	125.667462656	220.819201829	165.391220514	119.922239565	256.924957009	278.029879929	214.744557395	95.21460097399999	119.07138835399999	201.761768288	265.336651569
K00123	formate dehydrogenase major subunit [EC:1.17.1.9]	145.443880837	51.212684857999996	89.218158911	41.128918328	55.144519201	163.772593967	190.604304741	140.036446694	143.37743397	112.973563797	184.287376047	127.069589974	88.387673052	185.736786584	265.909359068	174.55224010700002	177.276761018	221.97379933599998	306.222836256	208.967372639
K00124	formate dehydrogenase iron-sulfur subunit	210.196611357	153.393060317	277.987292491	172.626256189	188.754762766	271.120320938	304.353136979	406.642072138	294.248062037	143.362028331	282.097571744	281.791504078	250.840051176	249.894235516	202.076816237	219.685810487	319.142636632	281.338950487	262.919225073	194.656985893
K00126	formate dehydrogenase subunit delta [EC:1.17.1.9]	126.85090108600001	41.67718571	105.199075077	52.094403289	131.464977556	69.354735961	57.192269534	46.424017154	53.846460647	48.991538049999996	73.99196695	50.000687588	40.661731008	83.32321489	119.940868185	84.681762457	31.466698209	63.700657672	52.345141035	36.008554737
